artobject_id,db_title,youtube_title,old_video_id,old_url,new_video_id,new_url,new_title,action
12,030a / ALICE in WONDERLAND,030a ALICE in WONDERLAND - E,X3J2WOb0FyI,https://www.youtube.com/watch?v=X3J2WOb0FyI,dmc1yVkCc20,https://www.youtube.com/watch?v=dmc1yVkCc20,030a ALICE in WONDERLAND - E (Enhanced 4K),REPLACE
266,008 / PICK and PEN,008 PICK&PEN,8SvgnUHDdTU,https://www.youtube.com/watch?v=8SvgnUHDdTU,xrlK3_OIcXI,https://www.youtube.com/watch?v=xrlK3_OIcXI,008 PICK&amp;PEN (Enhanced 4K),REPLACE
14,026 / CCTV - I TOOLS - EYE TOOLS,China / CCTV - I TOOLS - EYE TOOLS - a portrait of Jürg Da Vaz,2udCsqGRnyg,https://www.youtube.com/watch?v=2udCsqGRnyg,,,,NO 4K FOUND
21,025 / CCTV - DA VAZ - SWISS ARTIST - a portrait,CHINA / CCTV - PORTRAIT of JÜRG DA VAZ,R2zxpDOmjfA,https://www.youtube.com/watch?v=R2zxpDOmjfA,-f_2-Ao1jYg,https://www.youtube.com/watch?v=-f_2-Ao1jYg,CHINA / CCTV - PORTRAIT of JÜRG DA VAZ (Enhanced 4K bright),REPLACE
24,024 / CITY in MAKING - China,024 CITY in MAKING,cMvVKrXIN9Y,https://www.youtube.com/watch?v=cMvVKrXIN9Y,0bHAKYmHczA,https://www.youtube.com/watch?v=0bHAKYmHczA,024 CITY in MAKING (Enhanced 4K),REPLACE
1556,063 / Biene und Mensch – HARD TALK,063 HARD TALK /  Biene und Mensch - D,aNzqomzOaUo,https://www.youtube.com/watch?v=aNzqomzOaUo,iGSvOPvPCJo,https://www.youtube.com/watch?v=iGSvOPvPCJo,063 HARD TALK /  Biene und Mensch - D (Enhanced 4K),REPLACE
263,012 / CALL OF THE SNOUT,CALL OF THE SNOUT,i8XzcDXpBoY,https://www.youtube.com/watch?v=i8XzcDXpBoY,VCYEHpdRRBM,https://www.youtube.com/watch?v=VCYEHpdRRBM,CALL OF THE SNOUT (Enhanced 4K),REPLACE
265,019 / PIGstile,PIGstile,Da3-JcXMnzQ,https://www.youtube.com/watch?v=Da3-JcXMnzQ,Wo9NUN3a65E,https://www.youtube.com/watch?v=Wo9NUN3a65E,PIGstile (Enhanced 4K),REPLACE
260,001a / The OTHER EYE - a passage through India,001a THE OTHER EYE - E,WBsY8GGMOBE,https://www.youtube.com/watch?v=WBsY8GGMOBE,YZx82_OyGXw,https://www.youtube.com/watch?v=YZx82_OyGXw,001a THE OTHER EYE - E (Enhanced 4K),REPLACE
262,022 / towards 21st CENTURY CHINA,022b 21st Century China 4539 feb07,Us1tVOObESU,https://www.youtube.com/watch?v=Us1tVOObESU,yI42sWIv0Ck,https://www.youtube.com/watch?v=yI42sWIv0Ck,022b 21st Century China 4539 feb07 (Enhanced 4K),REPLACE
